wavenumber_cm-1,实验：SDBS 粉末 Raman,"参考理论：ORCA B3LYP/6-31+G(d,p)",构型 1：Gaussian B3LYP/6-31G(d),构型 2：Gaussian B3LYP/6-31G(d),二聚体：Gaussian B3LYP/6-31G(d)
363.0,0.00000000,0.16603636,0.13212368,0.10183744,0.00000001
364.0,0.00000000,0.18661947,0.14299186,0.09917466,0.00000002
365.0,0.00000000,0.20686648,0.15262352,0.09525212,0.00000004
366.0,0.00000000,0.22615321,0.16066126,0.09022568,0.00000006
367.0,0.00000000,0.24383435,0.16679405,0.08428862,0.00000010
368.0,0.00000000,0.25927852,0.17077714,0.07765934,0.00000017
369.0,0.00000000,0.27190537,0.17244829,0.07056824,0.00000027
370.0,0.00000000,0.28122164,0.17173879,0.06324470,0.00000045
371.0,0.00000000,0.28685308,0.16867812,0.05590527,0.00000073
372.0,0.00000000,0.28856945,0.16339199,0.04874392,0.00000118
373.0,0.00000000,0.28630015,0.15609378,0.04192480,0.00000189
374.0,0.00000000,0.28013906,0.14707036,0.03557792,0.00000300
375.0,0.00000000,0.27033815,0.13666344,0.02979761,0.00000473
376.0,0.00000000,0.25729046,0.12524825,0.02464349,0.00000741
377.0,0.00000000,0.24150401,0.11321137,0.02014365,0.00001152
378.0,0.00000000,0.22356907,0.10092952,0.01629922,0.00001775
379.0,0.00000000,0.20412185,0.08875092,0.01308989,0.00002714
380.0,0.00000000,0.18380745,0.07698031,0.01047976,0.00004112
381.0,0.00000000,0.16324534,0.06586861,0.00842289,0.00006174
